"// Phenotype data set from Mouse Phenome Database (phenome.jax.org)",,,,,,,,
"// Data set: Willott1    Title: Startle and prepulse inhibition survey of 40 inbred strains of mice    Year: 2002",,,,,,,,
"// Table of individual animal values",,,,,,,,,,,
"// For more info on these data visit phenome.jax.org and type Willott1 into search box",,,,,,,,,,
,,,,,,,,,,,
strain,sex,id,round,bw,PPI_4,PPI_12,PPI_20,PPI_tot,ASR_70,ASR_80,ASR_90,ASR_100,ASR_latency,ASR_habituation
C3H/HeJ,m,F62,all,,0.7265,0.78,0.7865,2.295,96.65,114.15,276,304,30.35,0.412
C3H/HeJ,m,P91,all,23.2,0.6635,0.717,0.682,2.06,97.35,133.65,177.5,233,40.6,0.787
C3H/HeJ,m,P92,all,21.3,0.717,1.042,1.1235,2.885,52.35,151.5,275,131.9,33.6,2.725
C57BL/10J,f,P535,all,15,1.001,0.59,0.4065,2,112.65,143.35,224,265,24.95,0.461
C57BL/10J,f,P536,all,15.6,0.58,0.2255,0.188,0.995,65.15,168,255,666,24.6,0.532
C57BL/10J,f,P537,all,14,0.4675,0.231,0.309,1.009,73.85,122.5,178.5,550,24.75,0.606
C57BL/10J,f,P538,all,15.9,0.6075,0.2885,0.235,1.1335,83.15,420,609.5,527,27.35,1.034
C57BL/10J,f,P539,all,15.6,0.604,0.3165,0.363,1.285,142,430.5,654,574.5,22.65,0.917
C57BL/10J,f,P540,all,8.70,0.711,0.2415,0.2095,1.16,48.35,270,393,495,24.15,0.885
C57BL/10J,f,P541,all,11.1,0.565,0.2725,0.2845,1.125,128,543.5,614.5,520,23.15,1.035
C57BL/10J,f,P542,all,14.3,0.5025,0.2375,0.228,0.968,123,526.5,773.5,522,23.95,0.800
C57BL/10J,f,P543,all,12.7,0.446,0.446,0.4095,1.3,78.8,93.15,101.85,311.5,26.25,0.336
C57BL/10J,f,P544,all,14.8,0.324,0.4295,0.4885,1.243,138.5,581,424.5,397,22.25,0.503
C57BL/10J,m,P501,all,18.3,0.6075,0.322,0.308,1.2355,87.35,221.5,136,365,27.5,0.746
C57BL/10J,m,P502,all,21.2,0.5595,0.4875,0.4155,1.46,138,234.5,449.5,288.5,24.55,0.249
C57BL/10J,m,P503,all,16.9,0.6405,0.4125,0.515,1.57,227.5,363,321,215.5,35.1,0.342
