"// Phenotype data set from Mouse Phenome Database (phenome.jax.org)",,,,,,,,
"// Data set: Willott1    Title: Startle and prepulse inhibition survey of 40 inbred strains of mice    Year: 2002",,,,,,,,
"// Table of individual animal values",,,,,,,,,,,
"// For more info on these data visit phenome.jax.org and type Willott1 into search box",,,,,,,,,,
,,,,,,,,,,,
strain,sex,id,round,bw,PPI_4,PPI_12,PPI_20,PPI_tot,ASR_70,ASR_80,ASR_90,ASR_100,ASR_latency,ASR_habituation
SEA/GnJ,f,P758(se/se),all,21.8,0.752,0.6415,0.475,1.865,103.65,139.5,432.5,608,24.45,0.424
SEA/GnJ,f,P759(se/se),all,21,0.7025,0.39,0.326,1.415,83,94.5,492.5,1168.5,23,0.971
SEA/GnJ,m,P760(+/se),all,23.4,1.26,0.5365,0.4685,2.265,184.5,225,791,432,26.2,2.577
SEA/GnJ,m,P761(+/se),all,25.1,1.1455,0.2905,0.536,1.975,126.65,228,594.5,625.5,26,0.437
SEA/GnJ,m,P762(se/se),all,21.2,1.0685,0.4635,0.6395,2.17,70.7,476.5,698,1020.5,23.05,2.155
SEA/GnJ,m,P763(se/se),all,22.1,0.9345,0.7125,1.2195,2.865,155.5,212.5,550.5,668.5,25.7,1.534
SEA/GnJ,m,P764(se/se),all,27.1,0.777,0.583,0.524,1.885,105.85,351.5,1214,1615,22.55,1.232
SEA/GnJ,m,P765(se/se),all,25.9,0.9,0.421,0.669,1.99,101.35,872.5,1603.5,1777.5,21.25,1.005
SEA/GnJ,m,P766(se/se),all,27,1.535,0.658,0.6835,2.88,151.5,420,1220.5,764,31.1,0.437
SEA/GnJ,m,P767(+/se),all,21.8,0.5795,0.2565,0.342,1.1785,201.5,275,452.5,1040,23.8,0.633
SEA/GnJ,m,P768(+/se),all,22.2,0.5925,0.1885,0.371,1.1505,121.5,376,716.5,769,25.8,0.990
SEA/GnJ,m,P785,all,26,0.788,0.4035,0.428,1.62,115,220.5,446,744.5,25.95,0.719
SJL/J,f,P208,all,16.7,0.5085,0.792,0.5265,1.83,50,138,131.5,129,21.55,0.926
SJL/J,f,P209,all,15.1,0.6595,0.699,0.7225,2.08,58,88.35,67,123,27.1,0.565
SJL/J,f,P210,all,15.7,1.0555,1.305,0.966,3.33,82.35,104.5,59.35,71.8,22.55,0.943
SJL/J,f,P211,all,13.3,0.8575,0.8045,0.97,2.63,67.15,89.65,145.5,100.9,23.5,0.532
SJL/J,f,P212,all,14.5,0.806,0.7565,0.8545,2.415,47.15,135.5,109.65,85.4,20,0.758
SJL/J,f,P213,all,16.3,0.9635,0.91,0.6995,2.575,73.15,127.5,133.15,113.4,27.25,0.621
SJL/J,f,P214,all,15.8,0.7075,0.631,0.792,2.13,66.85,82,89.35,183,27.1,0.893
SJL/J,f,P215,all,15.9,1.3,1.2005,1.0245,3.525,91,91.65,208,116,28.85,0.571
SJL/J,f,P216,all,15.5,0.9225,0.8425,0.62,2.39,103.5,81.15,93.15,109.5,25.9,1.155
SJL/J,f,P217,all,13.9,1.1145,0.5925,0.66,2.365,60,52.15,181,146,25.8,0.556
SJL/J,m,P218,all,19.6,2.009,0.6825,0.9785,3.67,56.7,120.65,107.35,139,29.95,1.328
SJL/J,m,P219,all,17.5,0.918,0.716,0.7825,2.42,77,79,68.85,136.7,26.7,0.763
SJL/J,m,P220,all,17.5,0.9045,0.6745,0.7,2.275,94.85,83.5,87.5,128.1,23.4,0.297
SJL/J,m,P221,all,21.2,0.9065,0.854,0.651,2.415,81,103.5,142,111.6,26.8,0.952
SJL/J,m,P222,all,21.1,0.593,0.7885,0.616,2,81.65,138,104.65,167.5,28.55,0.308
SJL/J,m,P223,all,17.2,0.724,1.225,1.09,3.035,67.35,137,79.5,74.25,19.05,0.746
SJL/J,m,P224,all,16.7,0.779,0.8455,0.678,2.305,67.65,69.2,57.5,95.45,25.5,1.053
SJL/J,m,P225,all,18.8,1.155,0.9685,0.9055,3.03,61.5,97.35,64.85,83.85,21.4,0.346
SJL/J,m,P226,all,17.6,1.075,0.6775,0.794,2.55,97.65,114.85,119.65,134.5,22.85,0.794
SJL/J,m,P227,all,17.6,0.6375,0.67,1.065,2.37,77,85.7,103,106,22.95,1.458
SM/J,f,P120,all,13.5,0.6035,0.187,0.2045,0.994,127,88.15,284.5,544.5,19.75,1.250
SM/J,f,P121,all,15.9,0.4905,0.239,0.3005,1.028,56.15,158,377.5,601,22.7,1.149
SM/J,f,P122,all,12.4,0.7325,0.273,0.18045,1.1845,48.65,346,965.5,829.5,23.4,0.599
SM/J,f,P123,all,13.2,0.4905,0.301,0.277,1.0695,52.15,72.3,277,452,19,1.101
SM/J,f,P124,all,14.2,0.8065,0.309,0.438,1.55,109.5,161,299.5,470,21.8,0.671
SM/J,f,P125,all,12.9,0.5005,0.2875,0.3185,1.105,75,409,595,798,20.7,0.800
SM/J,f,P126,all,12.8,0.5245,0.2655,0.2865,1.0745,103.35,725,502,1120.5,21.5,1.355
SM/J,f,P127,all,13.6,0.71,0.1995,0.274,1.1855,86.5,161,316,480.5,22.35,1.064
SM/J,f,P128,all,14.5,0.539,0.3065,0.3275,1.1725,71.8,160,448,917.5,22.75,0.952
SM/J,f,P129,all,16.9,0.8385,0.2745,0.302,1.415,94,340.5,1123.5,1009,21,1.072
SM/J,m,P130,all,16.4,0.654,0.244,0.1945,1.095,73.85,88,352.5,537.5,20.9,0.370
SM/J,m,P131,all,16.7,1.1035,0.219,0.312,1.635,73.3,81.5,1095,741,19.95,1.603
SM/J,m,P132,all,17,0.634,0.382,0.4045,1.42,85.85,95.85,526.5,636,21.75,1.075
SM/J,m,P133,all,16.9,0.5715,0.536,0.5135,1.62,68.35,59.5,102.65,191,21.35,0.980
SM/J,m,P134,all,16.3,0.632,0.23,0.2695,1.135,74,123.85,487.5,695.5,22.05,1.176
SM/J,m,P135,all,14.9,0.36,0.1835,0.161,0.704,69.35,91.15,420.5,785,22,1.704
SM/J,m,P136,all,17.2,0.5455,0.248,0.3635,1.155,75.65,206,581.5,607.5,24.95,1.305
SM/J,m,P137,all,15.3,0.845,0.354,0.3175,1.52,181.15,697.5,1043.5,783.5,21.6,1.294
SM/J,m,P138,all,14.2,0.752,0.26,0.2505,1.261,59.8,208.5,910.5,834.5,20.45,1.580
SM/J,m,P139,all,17.4,0.615,0.3385,0.3495,1.305,82,77.2,195,459,22.8,0.769
SPRET/EiJ,f,P417,all,11.9,0.565,0.4025,0.45,1.42,52.85,166.5,406,328.5,23.65,0.459
SPRET/EiJ,f,P418,all,11.4,0.5555,0.322,0.489,1.365,44.85,101.85,175.5,384.5,23.4,0.559
SPRET/EiJ,f,P419,all,10.1,0.447,0.362,0.4775,1.285,97.35,282.5,543.5,356.5,26.5,0.469
SPRET/EiJ,f,P420,all,14.7,0.337,0.198,0.305,0.8405,72.35,244.5,784,483,27.1,1.034
SPRET/EiJ,f,P421,all,14.1,1.006,0.4585,0.6745,2.14,55,227.5,292.5,230,28.2,0.413
SPRET/EiJ,f,P422,all,12.3,0.5375,0.4185,0.722,1.675,56.5,151.35,297.5,332.5,25.9,0.862
SPRET/EiJ,f,P423,all,15.8,0.5045,0.284,0.2865,1.075,71.35,378.5,253,370,22.95,0.877
SPRET/EiJ,f,P424,all,10.9,0.521,0.3855,0.367,1.275,76.7,115.35,343.5,400,26.45,0.714
SPRET/EiJ,f,P425,all,10.2,0.7515,0.2055,0.194,1.15,188.5,485,568,711,21.75,1.645
SPRET/EiJ,f,P426,all,9,0.717,0.231,0.1615,1.1115,40.85,294,652,569,23,1.176
SPRET/EiJ,m,P710,all,12.5,0.609,0.5655,0.421,1.595,57.8,117,75,167.5,29.05,0.180
SPRET/EiJ,m,P711,all,9.90,0.594,0.3085,0.253,1.154,98,254.5,219,310,22.7,0.725
SPRET/EiJ,m,P712,all,10.4,0.8525,0.921,0.84,2.615,46.85,84.5,117.5,82.6,33.75,0.613
SPRET/EiJ,m,P713,all,11.1,1.0705,0.571,1.086,2.73,46.3,56.15,213.5,238.5,26.65,0.535
SPRET/EiJ,m,P714,all,13.5,0.8025,0.3555,0.404,1.56,42.8,110.85,86.5,179,26.4,0.549
SPRET/EiJ,m,P770,all,14.5,0.737,0.4245,0.6765,1.835,60.35,78.35,152,188,30.15,0.690
SPRET/EiJ,m,P771,all,13.3,0.5605,0.201,0.293,1.057,81.35,212,292.5,539.5,22.85,1.000
SPRET/EiJ,m,P772,all,11.7,0.8815,0.645,0.609,2.135,51,118,201,157,25.1,0.437
SPRET/EiJ,m,P773,all,14.2,0.9395,0.5815,0.865,2.39,102,121,139.5,163,27.6,0.286
SPRET/EiJ,m,P774,all,13.4,0.6255,0.397,0.5765,1.6,56,160.5,221,165,26.75,1.582
SWR/J,f,P329,all,15,0.3005,0.595,0.657,1.55,80.15,263.5,460.5,437.5,21.7,0.719
SWR/J,f,P330,all,13.8,0.4905,0.3125,0.3385,1.14,120,437,499,943.5,21.35,1.244
SWR/J,f,P331,all,14.8,0.484,0.295,0.3145,1.095,75.5,597,695.5,703,21.85,0.833
SWR/J,f,P332,all,14.5,0.465,0.4245,0.23,1.1175,154.5,286,694,833,20.65,0.917
SWR/J,f,P333,all,14.4,0.4775,0.498,0.3745,1.35,130.5,129,351,423,22.65,1.309
SWR/J,f,P334,all,14.8,0.9145,0.5035,0.7075,2.125,87.65,84.65,161.15,188,22.55,1.040
SWR/J,f,P335,all,16.3,0.5495,0.5295,0.5185,1.6,150,371,620.5,724.5,22.8,0.714
SWR/J,f,P336,all,16.1,0.3455,0.472,0.453,1.27,96.15,317,559.5,688.5,21.65,1.170
SWR/J,f,P337,all,14,0.4415,0.3625,0.339,1.14,131,346,640.5,950,21.65,0.909
SWR/J,f,P338,all,14.3,0.6325,0.4825,0.5735,1.69,112,339,736,468,20.75,0.962
SWR/J,m,P319,all,16.6,0.8075,0.4045,0.4555,1.67,112,139.85,319.5,329.5,24.1,1.151
SWR/J,m,P320,all,16.4,0.664,0.5135,0.492,1.67,67.7,124.65,235,254,26.7,0.336
SWR/J,m,P321,all,18.8,0.588,0.4485,0.598,1.64,93,153,165.35,274,23.25,0.917
SWR/J,m,P322,all,15.5,1.0305,0.541,0.5005,2.075,47.85,109.5,336,260,23.05,0.532
SWR/J,m,P323,all,18.1,0.5405,0.4335,0.5335,1.51,68.35,91.35,86,188,20.55,0.338
SWR/J,m,P324,all,15.7,0.587,0.7445,0.736,2.07,59.35,140,280,242.5,22,0.769
SWR/J,m,P325,all,18,0.539,0.4155,0.522,1.48,75.15,533,748,734,24.8,1.536
SWR/J,m,P326,all,15.3,0.2075,0.5405,0.46,1.205,55.2,204.5,424,574,20.95,1.271
SWR/J,m,P327,all,16.1,0.3185,0.468,0.433,1.22,86.15,431.5,535,610.5,20.3,0.769
SWR/J,m,P328,all,17.9,0.428,0.313,0.3615,1.1025,122.65,341,438.5,643,21.15,1.321
WSB/EiJ,f,P398,all,14.4,0.917,0.457,0.516,1.885,49.3,85.85,84.85,189,29.35,0.397
WSB/EiJ,f,P399,all,12.5,1.4,0.599,0.6045,2.605,52.7,122,99.65,132.5,23.9,0.862
WSB/EiJ,f,P400,all,13.1,1.25,0.497,0.4905,2.24,49.7,98,149,189,25.8,0.465
WSB/EiJ,f,P401,all,11.5,0.7095,0.7275,0.9145,2.35,40.85,98.5,149,187.25,38.6,0.413
WSB/EiJ,f,P402,all,10.6,1.09,0.752,1.0545,2.89,56.7,64.5,113,156,30.1,0.532
WSB/EiJ,f,P403,all,11,0.639,0.4155,0.3545,1.41,31.3,86,242.5,226.5,22.7,1.218
WSB/EiJ,f,P404,all,11.8,1.0835,0.5825,0.5855,2.25,55.2,162,104.5,214.5,31.35,0.490
WSB/EiJ,m,P395,all,18.4,0.5975,0.769,0.443,1.81,45.2,81.15,84.85,154,29.25,0.654
WSB/EiJ,m,P396,all,14,0.7665,0.429,0.349,1.545,123.15,143.5,227,266,27.15,0.346
WSB/EiJ,m,P397,all,15.1,0.794,0.4275,0.501,1.725,60.15,133.5,212,255,29.15,1.022
WSB/EiJ,m,P405,all,14.2,1.161,0.633,0.7545,2.55,45.5,176,261.5,159,31.75,0.877
WSB/EiJ,m,P406,all,13.5,0.775,0.5175,0.421,1.715,89,139.85,210,263.5,27.2,0.855
WSB/EiJ,m,P407,all,15.1,0.8975,0.401,0.2585,1.56,43.35,199,196.5,329,28.7,0.893
WSB/EiJ,m,P408,all,14.4,0.5865,0.428,0.532,1.55,77.35,110.5,79.5,226,31,1.185
WSB/EiJ,m,P409,all,18.9,1.335,0.5215,0.595,2.45,60.35,54.65,162,211,28.4,0.565
